"Data compiled by Iraq Body Count as of Tuesday, 6th March 2012"
"The reports from which this table is compiled have all been in the public domain."
"This specific compilation is copyrighted to Iraq Body Count (IBC)."
"Permission to use it for commercial use must be obtained from admin AT iraqbodycount.org"
""
"For a detailed explanation of these figures and how they were derived, see"
"http://www.iraqbodycount.org/about/"
""
"This table is constantly being updated. The latest version of this file can always be"
"obtained from http://www.iraqbodycount.org/database/download/ibc-incidents.php"

"IBC code","Start Date","End Date","Time","Location","Target","Weapons","Reported Minimum","Reported Maximum","Sources"
"k18417","2 Feb 2012","2 Feb 2012","-","al-Zab, 35 km southwest of Kirkuk","North Oil Company worker in car","magnetic bomb attached to car","1","1","REU 2 Feb"
"k18418","2 Feb 2012","2 Feb 2012","-","Bab al-Saray market, Mosul","police patrol, policeman and civilians killed","gunfire","3","3","AKnews 2 Feb"
"k18419","2 Feb 2012","2 Feb 2012","-","Shurta V, south Baghdad","people in market","car bomb","2","2","NINA 2 Feb"
"k18420","2 Feb 2012","2 Feb 2012","-","Nahrawan, west Mosul","body found shot dead","gunfire","1","1","NINA 2 Feb"
"k18421","2 Feb 2012","2 Feb 2012","-","Choman, Arbil","youth from Choman killed by people from Soran","-","1","1","GaliKurdsat TV 2 Feb"
"k18422","2 Feb 2012","2 Feb 2012","-","Saydiyah, south Baghdad","bodies found shot dead in grave in garden","gunfire","12","12","Al-Iraq 2 Feb"
"k18416","1 Feb 2012","1 Feb 2012","-","Muqdadiya","Awakening Council member","drive-by shooting","1","1","REU 1 Feb"
"k18409","31 Jan 2012","31 Jan 2012","-","al-Tahrir, east Mosul","housewife in her 40s, near home","gunfire","1","1","AKnews 31 Jan"
"k18410","31 Jan 2012","31 Jan 2012","-","Zanjali, west Mosul","police checkpoint, child and adult injured by police random gunfire","gunfire","1","1","AKnews 31 Jan"
"k18411","31 Jan 2012","31 Jan 2012","-","Sada Baawiza, north Mosul","-","roadside bombs","2","2","AKnews 31 Jan"
"k18412","31 Jan 2012","31 Jan 2012","AM","Musayyib","civilian car","magnetic bomb attached to car","1","1","NINA 31 Jan"
"k18413","31 Jan 2012","31 Jan 2012","6:30 PM","Haswa, east of Falluja","group of civilians hit","roadside bomb","1","1","NINA 31 Jan"
"k18414","31 Jan 2012","31 Jan 2012","PM","al-Dawasir, near Buhriz","Ismael Ibrahim, greengrocer","drive-by shooting","1","1","AKnews 31 Jan, REU 01 Feb"
"k18415","31 Jan 2012","31 Jan 2012","PM","al-Askari, Muqdadiyah","man near home","gunfire","1","1","NINA 01 Feb"
"k18402","30 Jan 2012","30 Jan 2012","-","west Mosul","government worker near home","gunfire","1","1","REU 30 Jan"
"k18403","30 Jan 2012","30 Jan 2012","-","Rabia, near Syrian border, northwest of Mosul","smuggler killed in clashes with border guards","gunfire","1","1","REU 30 Jan"
"k18404","30 Jan 2012","30 Jan 2012","-","central Baquba","police in car","magnetic bomb attached to car","2","2","REU 30 Jan"
"k18405","30 Jan 2012","30 Jan 2012","PM","Tahreer, Baquba","police patrol","roadside bomb","1","1","REU 30 Jan, NINA 30 Jan"
"k18406","30 Jan 2012","30 Jan 2012","-","Narraj/Najjar, west Mosul","policeman and father in car","drive-by shooting","2","2","REU 30 Jan, NINA 30 Jan"
"k18407","30 Jan 2012","30 Jan 2012","3:00 AM","Bani Hashim Primary School for Girls, al-Asma/al-Khassib, Basra","escaped prisoner hiding in school, police killed","hand grenades","1","2","REU 30 Jan, AKnews 30 Jan, Al-Iraq 30 Jan, Al-Shar 30 Jan"
"k18408","30 Jan 2012","30 Jan 2012","-","Baghdad","ministry official","gunfire","1","1","Al-Shar 30 Jan"
"k18398","29 Jan 2012","29 Jan 2012","-","Zaafaraniya, southeast Baghdad","minibus","roadside bomb","1","1","REU 29 Jan"
"k18399","29 Jan 2012","29 Jan 2012","AM","Arab Jabbar, Bani Saad","Awakening Council member near home","gunfire","1","1","NINA 29 Jan"
"k18400","28 Jan 2012","29 Jan 2012","-","Al Qadisiya District and Al Armoushiya crossroads, Samarra","Awakening Council checkpoint","gunfire","2","2","NINA 29 Jan"
"k18401","29 Jan 2012","29 Jan 2012","AM","Sharaban, Muqdadiya,  45 km north of Baquba","bus driver","magnetic bomb attached to vehicle","1","1","REU 29 Jan, AKnews 29 Jan"
"k18394","28 Jan 2012","28 Jan 2012","AM","Alluobeid, Garma","wife and daughter of Sheikh Dhiyab Mohammed, Awakening Council leader","gunfire","2","2","NINA 28 Jan, VOI 28 Jan"
"k18395","28 Jan 2012","28 Jan 2012","AM","Shammasin, Mahawil","agricultural engineer and brother in car","magnetic bomb attached to car","1","1","REU 28 Jan, NINA 28 Jan"
"k18396","28 Jan 2012","28 Jan 2012","-","Tuz Khurmatu","man outside home","drive-by shooting","1","1","REU 28 Jan, NINA 28 Jan"
"k18397","28 Jan 2012","28 Jan 2012","PM","near Samarra","national reconciliation official in home, guest killed","gunfire","1","1","REU 29 Jan"
"k18387","27 Jan 2012","27 Jan 2012","-","Zanjili, west Mosul","electricity generator operator","gunfire","1","1","REU 27 Jan, AKnews 27 Jan"
"k18388","27 Jan 2012","27 Jan 2012","-","Albu Saif, Mosul","Adnan al-Obeidi, judicial assistant","gunfire","1","1","AKnews 27 Jan, NINA 27 Jan"
"k18389","27 Jan 2012","27 Jan 2012","11:15 AM","Zaafaraniyah, Baghdad","police checkpoint","drive-by shooting","2","2","REU 27 Jan, LAT 27 Jan"
"k18391","27 Jan 2012","27 Jan 2012","-","Ghazaliya, west Baghdad","teenage football players","roadside bomb","1","1","NINA 27 Jan, CNN 27 Jan"
"k18392","27 Jan 2012","27 Jan 2012","11:00 AM","Markaz Street, Zaafaraniya, Baghdad","police station or funeral procession","suicide car bomb","31","32","REU 28 Jan, Al-Shar 28 Jan"
"k18393","27 Jan 2012","27 Jan 2012","-","near Sinjar","Yazidi man and wife in home","gunfire","2","2","REU 28 Jan, AKnews 28 Jan"
"k18374","26 Jan 2012","26 Jan 2012","-","Qahira, north Mosul","body of man found tortured and shot","gunfire, tortured, executed","1","1","AKnews 26 Jan"
"k18375","26 Jan 2012","26 Jan 2012","-","Al-Arabi, north Mosul","body of man found tortured and shot","gunfire, tortured, executed","1","1","AKnews 26 Jan"
"k18376","26 Jan 2012","26 Jan 2012","-","al-Sahabi, west Mosul","body of man found tortured and shot","gunfire, tortured, executed","1","1","AKnews 26 Jan"
"k18377","26 Jan 2012","26 Jan 2012","-","between Mosul and south al-Shura","car driver","roadside bomb","1","1","AKnews 26 Jan"
"k18378","26 Jan 2012","26 Jan 2012","-","'near the southern entrance of Kirkuk'","guard of 'State of Law Coalition member Hachem al-Hassani'","magnetic bomb attached to car","1","1","AKnews 26 Jan"
"k18379","26 Jan 2012","26 Jan 2012","-","Saidiya, south Baghdad","off-duty police officer in car","gunfire","1","1","REU 26Jan, AP 26 Jan"
"k18380","26 Jan 2012","26 Jan 2012","-","al-Sumoud, west Mosul","son of Sheikh Jum'a Al Dawar, Al Bajariya tribal leader","gunfire","1","1","REU 26 Jan, NINA 26 Jan"
"k18381","26 Jan 2012","26 Jan 2012","PM","Abo Dsheer, south Baghdad","civilian car","magnetic bomb attached to car","1","1","NINA 26 Jan"
"k18382","26 Jan 2012","26 Jan 2012","PM","Saidiya, south Baghdad","billiards cafe","roadside bombs","1","3","NINA 26 Jan, CNN 26 Jan, REU 26 Jan, AP 26 Jan"
"k18383","26 Jan 2012","26 Jan 2012","-","Garma","Naeem abd Allah Falih, local Awakening Council leader and imam","gunfire","1","1","REU 26 Jan, NINA 26 Jan"
"k18384","26 Jan 2012","26 Jan 2012","10:00 AM","Tiseen, Kirkuk","police patrol, near primary school","motorcycle bomb","2","3","AP 26 Jan , VOI 26 Jan, REU 26 Jan , NINA 26 Jan"
"k18385","26 Jan 2012","26 Jan 2012","1:00-4:00 AM","Al-Hamya/Hamia, Mussayab","homes of police brothers, Ahmed and Jihad Zwain","bombs round house","10","10","AKnews 26 Jan, AFP 26 Jan"
"k18386","26 Jan 2012","26 Jan 2012","PM","Yarmouk, west Baghdad","Mohammed al-Maliki, real estate office owner, wife and son","gunfire","3","4","AKnews 27 Jan, AFP 27 Jan, NINA 26 Jan, CNN 26 Jan"
"k18390","26 Jan 2012","26 Jan 2012","PM","Heet","'Qutadeh Mansour, preacher of Ali Bin Abi Talib Mosque'","magnetic bomb attached to car","1","1","NINA 26 Jan, AFP 26 Jan"
"k18370","25 Jan 2012","25 Jan 2012","PM","Panja Ali, Kirkuk","brothers Kanaan and Adnan Ahmed Qader, policemen","drive-by shooting","2","2","AKnews 25 Jan, XIN 25 Jan"
"k18371","25 Jan 2012","25 Jan 2012","PM","south Kirkuk","civilian car","magnetic bomb attached to car","1","1","REU 26 Jan, AKnews 26 Jan"
"k18372","25 Jan 2012","25 Jan 2012","PM","Cairo, Mosul","Adnan Mahmoud, imam of Sadique Mosque and brother","gunfire","2","2","AKnews 26 Jan"
"k18357","24 Jan 2012","24 Jan 2012","-","west Mosul","barber shop, customer killed","gunfire","1","1","REU 24 Jan, VOI 25 Jan"
"k18358","24 Jan 2012","24 Jan 2012","-","near Cinema Street, Ramadi","-","motorcycle bomb","2","2","REU 24 Jan, AKnews 24 Jan"
"k18359","24 Jan 2012","24 Jan 2012","-","Itafiyah, northeast Baghdad","-","roadside bomb","1","1","VOI 24 Jan"
"k18360","24 Jan 2012","24 Jan 2012","-","Tuz Khurmatu","policeman by roadside bomb being defused","roadside bomb","1","1","AKnews 24 Jan, NINA 24 Jan"
"k18361","24 Jan 2012","24 Jan 2012","PM","Shirqat","civilian car hit","roadside bomb","1","1","REU 24 Jan, AKnews 24 Jan"
"k18362","24 Jan 2012","24 Jan 2012","-","near al-Islah, Deli Abbas, northeast of Baquba","body of policeman found shot","gunfire","1","1","NINA 24 Jan"
"k18363","24 Jan 2012","24 Jan 2012","-","Anbar","'engineer with the provincial reconstruction committee'","bomb under car","1","1","WP 24 Jan"
"k18364","24 Jan 2012","24 Jan 2012","10:30 AM","Shula, northwest Baghdad","area near schools","car bomb","2","5","XIN 24 Jan, NINA 24 Jan, VOI 24 Jan, KUNA 24 Jan"
"k18365","24 Jan 2012","24 Jan 2012","10:35 AM","Hurriya, northwest Baghdad","-","car bomb","1","1","NINA 24 Jan, AP 24 Jan"
"k18366","24 Jan 2012","24 Jan 2012","-","Al-Tahrir police station, al-Khaldiya, east of Ramadi","checkpoint at police station","AK-47 rifles","1","1","VOI 24 Jan, WP 24 Jan"
"k18367","24 Jan 2012","24 Jan 2012","-","west Mosul","beheaded body of policeman found","beheaded, executed","1","1","REU 24 Jan, VOI 25 Jan"
"k18368","24 Jan 2012","24 Jan 2012","6:45-7:30 AM","al-Mudhafar Square and al-Dakhil, Sadr City, Baghdad","day labourers and petrol station and bakery","car bombs","6","11","VOI 24 Jan, NINA 24 Jan, REU 24 Jan, AP 24 Jan"
"k18369","24 Jan 2012","24 Jan 2012","AM","Alnasr wassalam, Abu Ghraib","house of policeman Hassan Abdulla al-Timimi and another policeman","bombs round houses","3","5","Al-Shar 24 Jan, AKnews 24 Jan, KUNA 24 Jan WP 24 Jan"
"k18373","24 Jan 2012","24 Jan 2012","PM","Al-Liqaa Square, Jamia/Mansur, west Baghdad","Nadhim al-Jubouri, Sahwa leader in Dhuluiyah","drive-by shooting","1","1","REU 25 Jan, AP 25 Jan"
"k18352","23 Jan 2012","23 Jan 2012","-","near Syrian border in Nineveh","border guards","gunfire","3","3","AKnews 23 Jan"
"k18353","23 Jan 2012","23 Jan 2012","PM","Iskandariya","Awakening Council member near home","gunfire","1","1","NINA 23 Jan"
"k18354","23 Jan 2012","23 Jan 2012","PM","Baiji","Awakening Council checkpoint","roadside bomb","1","1","NINA 23 Jan"
"k18355","23 Jan 2012","23 Jan 2012","-","Hammam al-Alil, 20 km south of Mosul","police checkpoint","gunfire","1","1","XIN 23 Jan, NINA 23 Jan"
"k18356","23 Jan 2012","23 Jan 2012","-","Rashad, southwest of Kirkuk","Ghazi Khalaf Thajeel, Awakening Council leader, in car","drive-by shooting","1","1","AKnews 23 Jan, VOI 23 Jan"
"k18348","22 Jan 2012","22 Jan 2012","-","Baker, east Mosul","man near home","gunfire","1","1","NINA 22 Jan"
"k18349","22 Jan 2012","22 Jan 2012","-","Aski, west Mosul","body of Kurdish citizen found shot","gunfire","1","1","NINA 22 Jan"
"k18350","22 Jan 2012","22 Jan 2012","AM","Aswad/al-Asoud, between Sharaban and Khalis","checkpoint manned by police and Awakening Council members","gunfire","2","3","REU 22 Jan, DPA 22 Jan, KUNA 22 Jan, XIN 22 Jan"
"k18351","22 Jan 2012","22 Jan 2012","PM","Dawwasa, central Mosul","market","car bomb","1","1","XIN 22 Jan, CNN 22 Jan"
"k18338","21 Jan 2012","21 Jan 2012","-","Qaiyara","policeman shot dead in exchange of fire with suspect","gunfire","1","1","REU 21 Jan"
"k18339","21 Jan 2012","21 Jan 2012","-","Ameriya, south of Falluja","people in house","bomb in house","1","1","AKnews 21 Jan"
"k18341","21 Jan 2012","21 Jan 2012","-","near Baiji","Awakening Council checkpoint","roadside bomb","1","1","AKnews 21 Jan, XIN 21 Jan"
"k18342","21 Jan 2012","21 Jan 2012","-","al-Shuhada, west Mosul","police checkpoint","gunfire","1","1","NINA 21 Jan"
"k18343","31 Dec 2011","21 Jan 2012","-","Euphrates River, near Hilla","body of kidnapped real estate shop owner found shot in Euphrates","gunfire, executed","1","1","NINA 21 Jan"
"k18344","21 Jan 2012","21 Jan 2012","-","west Samawah, Muthanna","woman","Kalashnikov rifle","1","1","NINA 21 Jan"
"k18345","21 Jan 2012","21 Jan 2012","PM","Habibiya, east Baghdad","policeman","drive-by shooting","1","1","AP 21 Jan, REU 22 Jan"
"k18346","21 Jan 2012","21 Jan 2012","-","Iskandariya","army checkpoint, policeman killed","gunfire","1","1","REU 22 Jan"
"k18347","21 Jan 2012","21 Jan 2012","-","al-Rashidiya, north of Mosul","Christian male nurse in clinic","gunfire","1","1","REU 21 Jan, NINA 21 Jan"
"k18333","20 Jan 2012","20 Jan 2012","-","north Mosul","man near home","gunfire","1","1","REU 20 Jan"
"k18334","20 Jan 2012","20 Jan 2012","-","Hawija","police patrol in market","roadside bomb","2","2","REU 20 Jan, VOI 20 Jan"
"k18335","20 Jan 2012","20 Jan 2012","PM","Qadisiyah, Haweeja","house of police captain Omer Ghadban, of National Investigation Bureau, passer-by killed","gunfire","1","1","NINA 20 Jan, XIN 21 Jan"
"k18336","20 Jan 2012","20 Jan 2012","-","Rashidiya, 10 km north of central Mosul","Shabak civilians","gunfire","2","2","AKnews 21 Jan"
"k18337","20 Jan 2012","20 Jan 2012","-","Muthanna, east Mosul","off-duty policeman","gunfire","1","1","REU 20 Jan, VOI 20 Jan"
"k18340","20 Jan 2012","20 Jan 2012","-","Shwan, north Kirkuk","-","landmine","0","1","XIN 21 Jan"
"k18325","19 Jan 2012","19 Jan 2012","AM","central Kirkuk","body of man in his 20s found tortured and strangled","tortured, strangled, executed","1","1","KUNA 18 Jan, AKnews 18 Jan"
"k18331","19 Jan 2012","19 Jan 2012","PM","Samarra","Awakening Council checkpoint","drive-by shooting","1","1","REU 19 Jan, DPA 19 Jan"
"k18332","19 Jan 2012","19 Jan 2012","-","east Mosul","electricity generator operator","gunfire","1","1","REU 19 Jan, VOI 19 Jan"
"k18324","18 Jan 2012","18 Jan 2012","-","al-Sada, north Mosul","Shabak brothers","gunfire","1","1","AKnews 18 Jan"
"k18326","18 Jan 2012","18 Jan 2012","-","Mosul","police convoy","roadside bomb","2","2","KUNA 28 Jan, PUKM 18 Jan"
"k18328","17 Jan 2012","18 Jan 2012","-","Albu Osaj, Latifiya","Sabbar Mohammed, local leader and sons in home","gunfire","4","4","AFP 18 Jan, NINA 18 Jan"
"k18329","18 Jan 2012","18 Jan 2012","PM","central Baghdad","traffic policeman","gunfire","1","1","REU 18 Jan"
"k18330","18 Jan 2012","18 Jan 2012","11:30 AM-2:00 PM","central Jalawla","-","gunfire","1","1","REU 19 Jan"
"k18320","17 Jan 2012","17 Jan 2012","-","Al-Mafraq, west Baquba","Awakening Council member in car","magnetic bomb attached to car","1","1","REU 17 Jan, XIN 17 Jan"
"k18321","17 Jan 2012","17 Jan 2012","-","Al-Mashahda, 25 km north of Baghdad","brothers and relative in home","gunfire","3","3","XIN 17 Jan, NINA 17 Jan"
"k18322","17 Jan 2012","17 Jan 2012","-","al-Shuhada, west Mosul","police checkpoint","roadside bomb","3","3","REU 17 Jan, AKnews 17 Jan"
"k18323","17 Jan 2012","17 Jan 2012","PM","Adel, Baghdad","Waleed al-Bahadily, municipal councillor","gunfire","1","1","NINA 17 Jan, VOI 17 Jan"
"k18327","17 Jan 2012","17 Jan 2012","-","Tuz Khurmatu","Mohammed Kamal, Turkman currency exchange shop owner","drive-by shooting","1","1","REU 17 Jan, AKnews 18 Jan"
"k18316","15 Jan 2012","16 Jan 2012","-","outskirts of east Baquba","Kurdish man in car","magnetic bomb attached to car","1","1","REU 16 Jan"
"k18317","16 Jan 2012","16 Jan 2012","-","al-Qayara","police motorcade","roadside bomb","3","3","AKnews 16 Jan"
"k18318","16 Jan 2012","16 Jan 2012","12:15 PM","Nadir, central Hilla","-","car bomb, possibly suicide","3","4","REU 16 Jan, XIN 16 Jan, AFP 16 Jan, DPA 16 Jan"
